Order ID,Customer ID,Product Name,Price Sold At,Industry,Subgroup,Order Time,Order Date,Store ID
1,790,HP Spectre x360,114999,Electronics,Laptops,00:28:12,2024-06-28,18
2,585,Vitamin C Tablets,399,Health and Beauty Products,Vitamins,22:38:01,2024-06-28,5
3,773,Lays Potato Chips,99,Groceries and Food Items,Packaged Foods,13:09:40,2024-06-28,8
4,221,Marvel Legends Spider-Man,2336.03,Toys and Games,Action Figures,18:32:51,2024-06-28,17
5,601,The Ordinary Serum,1099,Health and Beauty Products,Skincare Products,08:48:57,2024-06-28,3
6,945,Tresemme Hair Spray,299,Health and Beauty Products,Hair Care Products,22:05:47,2024-06-28,1
7,295,Lays Potato Chips,99,Groceries and Food Items,Packaged Foods,22:54:02,2024-06-28,2
8,905,H&M Blouse,1999,Clothing and Apparel,Women's Clothing,06:06:33,2024-06-28,15
9,102,Carrots,60,Groceries and Food Items,Fresh Produce,12:11:05,2024-06-28,11
10,256,Multivitamin Gummies,699,Health and Beauty Products,Vitamins,02:30:11,2024-06-28,16
11,210,Zara Dress,4999,Clothing and Apparel,Women's Clothing,12:26:18,2024-06-28,9
12,267,OshKosh B'gosh Overalls,1593.17,Clothing and Apparel,Children's Clothing,19:34:42,2024-06-28,17
13,513,Coca-Cola,40,Groceries and Food Items,Beverages,00:55:42,2024-06-28,5
14,678,The Great Gatsby,399,Books and Media,Fiction Books,23:01:07,2024-06-28,1
15,93,Broccoli,80,Groceries and Food Items,Fresh Produce,13:08:09,2024-06-28,3
16,518,Lipton Tea,100,Groceries and Food Items,Beverages,13:42:33,2024-06-28,3
17,557,Apples,100,Groceries and Food Items,Fresh Produce,19:01:44,2024-06-28,7
18,673,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,11:17:16,2024-06-28,11
19,905,Oreo Cookies,159,Groceries and Food Items,Packaged Foods,18:09:14,2024-06-28,18
20,740,Thule Roof Rack,15999,Automotive Parts and Accessories,Car Accessories,14:45:09,2024-06-28,14
21,978,Settlers of Catan,1999,Toys and Games,Board Games,20:59:45,2024-06-28,3
22,54,Apples,100,Groceries and Food Items,Fresh Produce,21:31:31,2024-06-28,3
23,63,Adidas Soccer Jersey,2499,Sporting Goods and Outdoor Equipment,Sports Apparel,04:05:09,2024-06-28,10
24,611,Shark Upright Vacuum,24999,Home and Kitchen Appliances,Cleaning Appliances,22:30:57,2024-06-28,3
25,389,Forever 21 Skirt,3479.04,Clothing and Apparel,Women's Clothing,03:31:12,2024-06-28,7
26,502,Carter's Pajamas,1499,Clothing and Apparel,Children's Clothing,02:03:02,2024-06-28,10
27,190,Inception Blu-ray,699,Books and Media,Movies,09:02:19,2024-06-28,13
28,879,Transformers Optimus Prime,2199,Toys and Games,Action Figures,03:28:10,2024-06-28,7
29,727,KitchenAid Mixer,21999,Home and Kitchen Appliances,Kitchen Gadgets,07:50:02,2024-06-28,1
30,739,Scrabble,1199,Toys and Games,Board Games,18:15:51,2024-06-28,12
31,115,Bridgestone Tires,7999,Automotive Parts and Accessories,Motorcycle Parts,09:16:00,2024-06-28,3
32,6,LEGO Mindstorms,35999,Toys and Games,Educational Toys,09:16:25,2024-06-28,18
